likes,views,text,img-url,audio-url
11,823,None,"['https://sun9-37.userapi.com/impg/Z3ZzhW-SkhYf7LfabOM7JX1DiNjpndPO2XdNig/7K8Af6aW39w.jpg?size=510x680&quality=95&sign=9c989ff0767f57f37da3fc112464985b&c_uniq_tag=kHSAnymBXwlMjTKAQ7B6AejtzZByidDcvc1FtNf8z_k&type=album', 'https://sun9-17.userapi.com/impg/L9xhsrAR1juzz9Ub7_yOVZItiO4OTNZrWN0Txg/WNUMAMLx0DI.jpg?size=510x680&quality=95&sign=ba7129791e48b9d77b851e5882408064&c_uniq_tag=D0iIrSRKASGcJQTRJsVTEKJJSes4suVQ4zY6FykBUo4&type=album']",['https://cs1-77v4.vkuseraudio.net/s/v1/acmp/x4YenXxir6WqwtessDu8zFdmRPG6HG0xaJn_nk1nA9hvVQiCfRpwRcoNBSoj4acPFolCwGqdDwMkaUuczde3wlTJfq_k8AW0RS82J6k9FZw3TYZZTDZOx8wz8yJwxrCNx_KIulXVKqFJQCmX94LFsJ9DP2fqBWmXCBDn6aE7-1ONVxVskg.mp3?siren=1']
1,0,я передаю привет всем знакомым. Кто это читает тот зачем?,[],['https://cs1-70v4.vkuseraudio.net/s/v1/acmp/0U0Mclgu4VUOSoZIrMKXCvsEfIIxukA3trIS0gqYY5UTs3hkYUCeIRb8t-FVV8acR1V55Gb3r_gvSPY5qUIDO4ZqCKWPXwXEuMRbtcC67kePRaI20VoHPlWrptvPbrG-tHZqQpfm04NBCG8YN4X-rbssRkCyywaSo-KGCs-riKDLSBf6VA.mp3?siren=1']
